n;Network;Hub;Non.Hub;;PM;NM;NS;
 ; ; ;Cas7; ; ; ; ;
 ; ; ;Cas8; ; ; ; ;
 ; ; ;cFLIP; ; ; ; ;
 ; ; ;JNK; ; ; ; ;
 ; ; ;IKK; ; ; ; ;
 ; ; ;PIP3; ; ; ; ;
 ; ; ; ; ; ; ; ;
18;Marques-Pita2013; ;nWG; ;nWG;nhh;WG;
 ; ; ;nhh; ;SLP;wg;HH;
 ; ; ;SLP; ;en;PTC;PH;
 ; ; ;wg; ;EN;CI;SMO;
 ; ; ;WG; ;hh;CIA; ;
 ; ; ;en; ;ptc;CIR; ;
 ; ; ;EN; ;ci; ; ;
 ; ; ;hh; ; ; ; ;
 ; ; ;HH; ; ; ; ;
 ; ; ;ptc; ; ; ; ;
 ; ; ;PTC; ; ; ; ;
 ; ; ;PH; ; ; ; ;
 ; ; ;SMO; ; ; ; ;
 ; ; ;ci; ; ; ; ;
 ; ; ;CI; ; ; ; ;
 ; ; ;CIA; ; ; ; ;
 ; ; ;CIR; ; ; ; ;
 ; ; ; ; ; ; ; ;
19;Martinez-Sanchez2015; ;TBET; ;TBET;IFNG;RORGT;
 ; ; ;IFNG; ;IL2;GATA3;IL10;
 ; ; ;GATA3; ;TGFB;IL4;BCL6;
 ; ; ;IL2; ; ;IL21;IL9;
 ; ; ;IL4; ; ;FOXP3; ;
 ; ; ;RORGT; ; ; ; ;
 ; ; ;IL21; ; ; ; ;
 ; ; ;FOXP3; ; ; ; ;
 ; ; ;TGFB; ; ; ; ;
 ; ; ;IL10; ; ; ; ;
 ; ; ;BCL6; ; ; ; ;
 ; ; ;IL9; ; ; ; ;
 ; ; ; ; ; ; ; ;
20;Mendez2016;Blimp1;CD40L; ;CD40L;Irf4;IL2;
 ; ; ;IL4; ;IL4;Blimp1;IL21;
 ; ; ;Ag; ;Ag;STAT6;XBP1;
 ; ; ;IL2; ;IL2R;Pax5;STAT5;
 ; ; ;IL21; ;BCR;NFkB;Bach2;
 ; ; ;IL2R; ;ERK; ;Bcl6;
 ; ; ;Irf4; ;CD40; ;AID;
 ; ; ;XBP1; ;STAT3; ; ;
 ; ; ;STAT5; ;IL4R; ; ;
 ; ; ;BCR; ;IL21R; ; ;
 ; ; ;Bach2; ; ; ; ;
 ; ; ;ERK; ; ; ; ;
 ; ; ;Bcl6; ; ; ; ;
 ; ; ;STAT6; ; ; ; ;
 ; ; ;CD40; ; ; ; ;
 ; ; ;STAT3; ; ; ; ;
 ; ; ;Pax5; ; ; ; ;
 ; ; ;IL4R; ; ; ; ;
 ; ; ;IL21R; ; ; ; ;
 ; ; ;AID; ; ; ; ;
 ; ; ;NFkB; ; ; ; ;
 ; ; ; ; ; ; ; ;
21;Mendez-Lopez2017; ;Snai2; ;ESE2;Snai2;Cyclin;
 ; ; ;ESE2; ;p16;NFkB;TELase;
 ; ; ;NFkB; ; ;p53;Rb;
 ; ; ;p16; ; ; ;E2F;
 ; ; ;p53; ; ; ; ;
 ; ; ;Cyclin; ; ; ; ;
 ; ; ;TELase; ; ; ; ;
 ; ; ;Rb; ; ; ; ;
 ; ; ;E2F; ; ; ; ;
 ; ; ; ; ; ; ; ;
22;Mendoza2006;GATA3;IFNb; ;IL4R;STAT6;IFNb;
 ; ; ;TCR; ;STAT3;IL12R;TCR;
 ; ; ;IL18; ;IL18R;GATA3;IL18;
 ; ; ;IL12; ;IFNg;Tbet;IL12;
 ; ; ;IRAK; ;IFNgR;SOCS1;IRAK;
 ; ; ;STAT6; ;STAT1; ;NFAT;
 ; ; ;IL12R; ;IL10R; ;STAT4;
 ; ; ;Tbet; ;IL10; ;JAK1;
 ; ; ;IL4R; ; ; ;IL4;
 ; ; ;NFAT; ; ; ;IFNbR;
 ; ; ;STAT3; ; ; ; ;
 ; ; ;STAT4; ; ; ; ;
 ; ; ;IL18R; ; ; ; ;
 ; ; ;IFNg; ; ; ; ;
 ; ; ;IFNgR; ; ; ; ;
 ; ; ;SOCS1; ; ; ; ;
 ; ; ;STAT1; ; ; ; ;
 ; ; ;JAK1; ; ; ; ;
 ; ; ;IL4; ; ; ; ;
 ; ; ;IFNbR; ; ; ; ;
 ; ; ;IL10R; ; ; ; ;
 ; ; ;IL10; ; ; ; ;
 ; ; ; ; ; ; ; ;
23;Meyer2017;cFos;DNAD; ;Oncogene;p53;DNAD;
 ; ;IL6;Oncogene; ;p16INK4;p21;Hypoxia;
 ; ; ;Hypoxia; ;CDK4;RB;ATM;
 ; ; ;ATM; ;IKK;E2F;CHK2;
 ; ; ;CHK2; ;NFkB;IkB;ATR;
 ; ; ;ATR; ;IL1;TAB;CHK1;
 ; ; ;CHK1; ;IL1R;MEKK;HIF1;
 ; ; ;p53; ;IRAK;cJun;CDK2;
 ; ; ;HIF1; ;TRAF6;cFos;pRB;
 ; ; ;p21; ;TAK1;IL8;MDM2;
 ; ; ;CDK2; ;MKK;IL6;NEMO;
 ; ; ;RB; ;AP1; ;MyD88;
 ; ; ;pRB; ;MKP1; ;JNK;
 ; ; ;E2F; ;IL6R; ;p38;
 ; ; ;MDM2; ;PI3K; ;NIK;
 ; ; ;p16INK4; ;JAK; ;GP130;
 ; ; ;CDK4; ;Akt; ;mTOR;
 ; ; ;NEMO; ;ERK1_2; ;SOCS3;
 ; ; ;IKK; ;Elk1; ;MEK1_2;
 ; ; ;IkB; ;STAT3; ;CEBPbeta;
 ; ; ;NFkB; ; ; ; ;
 ; ; ;IL1; ; ; ; ;
 ; ; ;IL1R; ; ; ; ;
 ; ; ;MyD88; ; ; ; ;
 ; ; ;IRAK; ; ; ; ;
 ; ; ;TRAF6; ; ; ; ;
 ; ; ;TAB; ; ; ; ;
 ; ; ;TAK1; ; ; ; ;
 ; ; ;MEKK; ; ; ; ;
 ; ; ;MKK; ; ; ; ;
 ; ; ;JNK; ; ; ; ;
 ; ; ;p38; ; ; ; ;
 ; ; ;cJun; ; ; ; ;
 ; ; ;AP1; ; ; ; ;
 ; ; ;MKP1; ; ; ; ;
 ; ; ;IL8; ; ; ; ;
 ; ; ;NIK; ; ; ; ;
 ; ; ;IL6R; ; ; ; ;
 ; ; ;GP130; ; ; ; ;
 ; ; ;PI3K; ; ; ; ;
 ; ; ;JAK; ; ; ; ;
 ; ; ;Akt; ; ; ; ;
 ; ; ;mTOR; ; ; ; ;
 ; ; ;SOCS3; ; ; ; ;
 ; ; ;MEK1_2; ; ; ; ;
 ; ; ;ERK1_2; ; ; ; ;
 ; ; ;Elk1; ; ; ; ;
 ; ; ;CEBPbeta; ; ; ; ;
 ; ; ;STAT3; ; ; ; ;
 ; ; ; ; ; ; ; ;
24;Orlando2008; ;MBF; ;SFF;MBF;YOX1;
 ; ; ;SBF; ;CLN3;SBF;HCM1;
 ; ; ;YOX1; ; ;ACE2;YHP1;
 ; ; ;HCM1; ; ;SWI5; ;
 ; ; ;YHP1; ; ; ; ;
 ; ; ;SFF; ; ; ; ;
 ; ; ;ACE2; ; ; ; ;
 ; ; ;SWI5; ; ; ; ;
 ; ; ;CLN3; ; ; ; ;
 ; ; ; ; ; ; ; ;
25;Ortiz-Gutierrez2015; ;CYCD31; ;SCF;RBR;CYCD31;
 ; ; ;SCF; ;E2Fa;E2Fc;E2Fb;
 ; ; ;RBR; ;CYCA23;MYB77;E2Fe;
 ; ; ;E2Fa; ;APCC;MYB3R14;CYCB11;
 ; ; ;E2Fb; ; ;CDKB11;KRP1;
 ; ; ;E2Fc; ; ; ; ;
 ; ; ;E2Fe; ; ; ; ;
 ; ; ;MYB77; ; ; ; ;
 ; ; ;MYB3R14; ; ; ; ;
 ; ; ;CYCB11; ; ; ; ;
 ; ; ;CDKB11; ; ; ; ;
 ; ; ;CYCA23; ; ; ; ;
 ; ; ;KRP1; ; ; ; ;
 ; ; ;APCC; ; ; ; ;
 ; ; ; ; ; ; ; ;
26;Rios2015; ;UGR; ;UGR;WT1mKTS;CBX2;
 ; ; ;CBX2; ;GATA4;NR5A1;WT1pKTS;
 ; ; ;GATA4; ;FGF9;NR0B1;PGD2;
 ; ; ;WT1mKTS; ;DKK1;SRY;DMRT1;
 ; ; ;WT1pKTS; ;FOXL2;SOX9;DHH;
 ; ; ;NR5A1; ; ;WNT4;AMH;
 ; ; ;NR0B1; ; ;CTNNB1;RSPO1;
 ; ; ;SRY; ; ; ; ;
 ; ; ;SOX9; ; ; ; ;
 ; ; ;FGF9; ; ; ; ;
 ; ; ;PGD2; ; ; ; ;
 ; ; ;DMRT1; ; ; ; ;
 ; ; ;DHH; ; ; ; ;
 ; ; ;DKK1; ; ; ; ;
 ; ; ;AMH; ; ; ; ;
 ; ; ;WNT4; ; ; ; ;
 ; ; ;RSPO1; ; ; ; ;
 ; ; ;FOXL2; ; ; ; ;
 ; ; ;CTNNB1; ; ; ; ;
 ; ; ; ; ; ; ; ;
27;Saadatpour2011;Apoptosis;CTLA4; ;GPCR;CTLA4;CREB;
 ; ; ;TCR; ;sFas;TCR;P2;
 ; ; ;CREB; ;Ceramide;IFNG;SMAD;
 ; ; ;IFNG; ;DISC;Fas;FLIP;
 ; ; ;P2; ;Caspase;Apoptosis;IAP;
 ; ; ;GPCR; ;BID; ; ;
 ; ; ;SMAD; ;MCL1; ; ;
 ; ; ;Fas; ;S1P; ; ;
 ; ; ;sFas; ; ; ; ;
 ; ; ;Ceramide; ; ; ; ;
 ; ; ;DISC; ; ; ; ;
 ; ; ;Caspase; ; ; ; ;
 ; ; ;FLIP; ; ; ; ;
 ; ; ;BID; ; ; ; ;
 ; ; ;IAP; ; ; ; ;
 ; ; ;MCL1; ; ; ; ;
 ; ; ;S1P; ; ; ; ;
 ; ; ; ; ; ; ; ;
28;Sahin2009;Akt1;EGF; ;ErbB2_3;CDK6;EGF;
 ; ; ;ErbB2_3; ;ErbB1;p27;ErbB1_2;
 ; ; ;CDK6; ;CycD1;CDK4;pRB;
 ; ; ;ErbB1_2; ;cMYC;Akt1;CycE1;
 ; ; ;p27; ; ;MEK1;ErbB1_3;
