"","Network","Hub","Non-Hub"," ","PM","NM","NS"
"251"," "," ","Nfkb"," ","Calcin","ZAP70","Rlk"
"252"," "," ","IKKbeta"," ","Gads","Lck","AP1"
"253"," "," ","Rsk"," ","Raf","PLCgact","NFAT"
"254"," "," ","Rlk"," ","IP3"," ","CRE"
"255"," "," ","SLP76"," ","JNK"," ","Fyn"
"256"," "," ","TCRbind"," ","CREB"," ","Fos"
"257"," "," ","LAT"," ","Ras"," ","Itk"
"258"," "," ","DAG"," ","PKCth"," ","RasGRP1"
"259"," "," ","AP1"," ","ERK"," ","TCRphos"
"260"," "," ","Calcin"," ","MEK"," ","PLCgbind"
"261"," "," ","NFAT"," ","Ca"," ","PAGCsk"
"262"," "," ","Gads"," ","SEK"," ","Grb2Sos"
"263"," "," ","Raf"," ","IkB"," "," "
"264"," "," ","cCbl"," "," "," "," "
"265"," "," ","IP3"," "," "," "," "
"266"," "," ","CRE"," "," "," "," "
"267"," "," ","Fyn"," "," "," "," "
"268"," "," ","Fos"," "," "," "," "
"269"," "," ","JNK"," "," "," "," "
"270"," "," ","CREB"," "," "," "," "
"271"," "," ","Ras"," "," "," "," "
"272"," "," ","PKCth"," "," "," "," "
"273"," "," ","ERK"," "," "," "," "
"274"," "," ","Itk"," "," "," "," "
"275"," "," ","MEK"," "," "," "," "
"276"," "," ","RasGRP1"," "," "," "," "
"277"," "," ","Ca"," "," "," "," "
"278"," "," ","SEK"," "," "," "," "
"279"," "," ","TCRphos"," "," "," "," "
"280"," "," ","PLCgbind"," "," "," "," "
"281"," "," ","PAGCsk"," "," "," "," "
"282"," "," ","Grb2Sos"," "," "," "," "
"283"," "," ","IkB"," "," "," "," "
"284"," "," "," "," "," "," "," "
"285","Krumsiek2011"," ","GATA2"," ","GATA2","GATA1","FOG1"
"286"," "," ","GATA1"," ","Fli1","EgrNab","EKLF"
"287"," "," ","FOG1"," ","CEBPa"," ","SCL"
"288"," "," ","EKLF"," ","PU1"," ","cJun"
"289"," "," ","Fli1"," ","Gfi1"," "," "
"290"," "," ","SCL"," "," "," "," "
"291"," "," ","CEBPa"," "," "," "," "
"292"," "," ","PU1"," "," "," "," "
"293"," "," ","cJun"," "," "," "," "
"294"," "," ","EgrNab"," "," "," "," "
"295"," "," ","Gfi1"," "," "," "," "
"296"," "," "," "," "," "," "," "
"297","MacLean2010"," ","GacSGacA"," "," ","GacSGacA","HrpV"
"298"," "," ","RpoN"," "," ","RpoN","HrpG"
"299"," "," ","HrpRS"," "," ","HrpRS"," "
"300"," "," ","HrpV"," "," ","HrpA"," "
"301"," "," ","HrpA"," "," ","HrpL"," "
"302"," "," ","HrpG"," "," "," "," "
"303"," "," ","HrpL"," "," "," "," "
"304"," "," "," "," "," "," "," "
"305","Marques-Pita2013"," ","nWG"," ","nWG","nhh","WG"
"306"," "," ","nhh"," ","SLP","wg","HH"
"307"," "," ","SLP"," ","en","PTC","PH"
"308"," "," ","wg"," ","EN","CI","SMO"
"309"," "," ","WG"," ","hh","CIA"," "
"310"," "," ","en"," ","ptc","CIR"," "
"311"," "," ","EN"," ","ci"," "," "
"312"," "," ","hh"," "," "," "," "
"313"," "," ","HH"," "," "," "," "
"314"," "," ","ptc"," "," "," "," "
